California County,"Nearby City 
(to help approximate location only)",Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,,,,,,,,California County,Avg Pollution Burden,Avg Pollution Burden Score,Avg Pollution Burden Pctl,Median Pollution Burden,Median Pollution Burden Score,Median Pollution Burden Pctl,,"Nearby City 
(to help approximate location only)",Avg Pollution Burden,Avg Pollution Burden Score,Avg Pollution Burden Pctl,Median Pollution Burden,Median Pollution Burden Score,Median Pollution Burden Pctl
Alameda ,Berkeley,37.94,4.67,39.69,,,,,,,,Alameda ,35.47076434,4.369040298,34.4510475,34.05106321,4.194171456,29.29682638,,Berkeley,32.86486858,4.048064311,28.98905128,31.98955242,3.940248997,24.30616055
Alameda ,Oakland,30.17,3.72,20.12,,,,,,,,Contra Costa,31.15586374,3.837561064,26.27279805,30.94410021,3.811477517,21.75482265,,Oakland,36.20055269,4.458930514,36.46212174,34.15669465,4.207182397,29.6453018
Alameda ,Oakland,31.38,3.87,22.96,,,,,,,,Marin ,28.01931896,3.451223448,18.41964134,27.72359815,3.414798631,14.83509645,,Emeryville,49.50529282,6.097715211,70.20410703,50.04709157,6.164450186,72.74424393
Alameda ,Oakland,30.54,3.76,20.88,,,,,,,,Napa ,34.26723169,4.220797575,31.26011201,33.85065966,4.169487151,28.6869944,,Albany,33.23686387,4.093884085,28.23148724,31.08299448,3.82858554,22.14063472
Alameda ,Oakland,29.47,3.63,18.47,,,,,,,,San Francisco,33.5222442,4.129035235,30.10916982,32.39160657,3.989771212,25.35158681,,Alameda,38.67156289,4.763292243,42.27131301,36.82742333,4.536144049,36.72682016
Alameda ,Oakland,32.39,3.99,25.36,,,,,,,,San Mateo,34.00884338,4.188971114,31.3518484,33.77401158,4.160046177,28.48786559,,Castro Valley,28.74021981,3.540018966,19.02391324,28.07407382,3.457967769,15.46359676
Alameda ,Emeryville,42.81,5.27,52.46,,,,,,,,Santa Clara,37.6715695,4.640120061,39.83753873,36.87665216,4.542207711,36.869944,,San Leandro,38.99592571,4.803244982,42.67635911,36.69330305,4.519624053,36.40323584
Alameda ,Emeryville,43.99,5.42,55.88,,,,,,,,Solano ,31.17014361,3.839319959,24.17301908,29.98854668,3.693779126,19.67019291,,San Lorenzo,34.67989833,4.271626961,31.39182742,35.71163623,4.39870921,33.87056627
Alameda ,Emeryville,44.18,5.44,56.44,,,,,,,,Sonoma ,33.87034887,4.17191233,30.67061404,32.10467518,3.954429012,24.61729932,,Hayward,31.57997498,3.889800117,24.52776049,31.65700792,3.899288495,23.60298693
Alameda ,Emeryville,49.78,6.13,71.97,,,,,,,,,,,,,,,,Union City,32.98924735,4.063384416,29.1793715,30.18644058,3.718154311,20.11200996
